entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
kə44,d4ee11252261b93b.wav,代名詞,他3sg,ta1,Miscellaneous,,,
kən24 ɗai44 kun55,95702ddee3de69df.wav,代名詞,他們3pl,ta1 men0,Miscellaneous,,,
kən44,,名詞,辣,la4,Adjectives & Verbs,,lai,
kəu24,,數詞,九,jiu3,Miscellaneous,,,
kɛi213,c232e96ed324da08.wav,名詞,雞,ji1,Fauna,,,
kɛi213 saŋ213,,,野雞、雉,ye3 ji1; zhi4,,,,kɛi213
kua213 kam44,8c65aa6e348170bf.wav,名詞,苦瓜,ku3 gua1,Flora,,,
kai213 zin44,0622e9eb19941798.wav,名詞,雞蝨,ji1 shi1,Fauna,,,
kit55 kɔu21 saŋ213,,動詞,打獵,da3 lie4,Adjectives & Verbs,打山裡的東西,,
kua213 tɔi213,c915322614caae6f.wav,名詞,西瓜,xi1 gua1,Flora,,,
kuŋ213 hok21,c2ee4d0dedf2e215.wav,動詞,打雷,da3 lei2,Nature,/ kuŋ213/乃「雷神叫」,,
kuŋ55 ɗe213,5ab41ef48c220179.wav,名詞,男人,nan2 ren2,Kinship,,,
khiu44,d01b3b8be2e2193d.wav,名詞,橋,qiao2,Material Culture,,,
kho24,5135ee4d089c6ad5.wav,名詞,褲子,ku4 zi,Material Culture,,,
khuai24,,形容詞,快,kuai4,Adjectives & Verbs,,,
khuat55,21adcd71aefdbeb8.wav,形容詞,寬,kuan1,Adjectives & Verbs,,,
khɔm44,,名詞,淡水螃蟹,dan4 shui3 pang2 xie4,Fauna,,khɛi,
khɔn213,e7e2e6cd95ae6d0e.wav,形容詞,重,zhong4,Adjectives & Verbs,,,
khɔt55,1fc950e9eef01521.wav,形容詞,渴,ke3,Adjectives & Verbs,,,
khɛi21,,名詞,海水螃蟹,hai3 shui3 pang2 xie4,Fauna,,,
khɛi21,,動詞,騎,qi2,Adjectives & Verbs,,,
kho24 zua24,99caebdbb6ebfaff.wav,名詞,衣服,yi1 fu2,Material Culture,字面意涵為「褲子+上衣」,,
ɗak21 kho24 zua24,,,曬衣服,xi3 yi1 fu2,,,,kho24 zua24
ɗak33 kho24 zua24,6f4f6d699e833df3.wav,,洗衣服,xi3 yi1 fu2,,,,kho24 zua24
la24,,名詞,稻秧rice seedling,dao4 yang1,Flora,,,
lak33,,形容詞,深,shen1,Adjectives & Verbs,,,
lam44,7b3588adb89845d7.wav,形容詞,藍,lan2,Adjectives & Verbs,,,
lan213,0f6ee0620b20dfe1.wav,名詞,孫子、孫女,sun1 zi; sun1 nü3,Kinship,孫女亦作 lan213 mai21 lɛk33,,
lap55,,動詞,躺,tang3,Adjectives & Verbs,,,
lap55,,動詞,睡,shui4,Adjectives & Verbs,,,
lau21,07ca4b18fcb09ab3.wav,形容詞,老,lao3,Adjectives & Verbs,,,
